iter	RMSE
0	2.518678504
1	2.485729632
2	2.454892095
3	2.426356523
4	2.39953876
5	2.375794086
6	2.352875816
7	2.331003985
8	2.309834366
9	2.291638768
10	2.273282991
11	2.255379874
12	2.239225774
13	2.226057067
14	2.213797513
15	2.201872356
16	2.191237926
17	2.179982259
18	2.169641719
19	2.160583662
20	2.152744154
21	2.144081881
22	2.137212878
23	2.131137157
24	2.124778756
25	2.117875574
26	2.112125925
27	2.10560586
28	2.100488278
29	2.095276966
30	2.090922025
31	2.08669944
32	2.083071639
33	2.079892428
34	2.075611633
35	2.071649436
36	2.06822781
37	2.064891213
38	2.061304477
39	2.05785599
40	2.055194886
41	2.052960567
42	2.050994304
43	2.048519593
44	2.045926506
45	2.043348712
46	2.040923963
47	2.038978122
48	2.03672897
49	2.035146414
50	2.032752485
51	2.030956192
52	2.028314169
53	2.026228765
54	2.025055091
55	2.023498406
56	2.021368722
57	2.019149604
58	2.017029724
59	2.015333803
60	2.014080678
61	2.013029009
62	2.01221341
63	2.010963996
64	2.009397589
65	2.008059202
66	2.005795414
67	2.003541106
68	2.001595386
69	2.000367549
70	1.998036545
71	1.995697701
72	1.994273503
73	1.993257491
74	1.991529661
75	1.990238971
76	1.988247729
77	1.986984499
78	1.984606559
79	1.982781165
80	1.980960396
81	1.980135063
82	1.979203259
83	1.977650798
84	1.976567988
85	1.975444574
86	1.974677877
87	1.973493096
88	1.971958502
89	1.971247672
90	1.970277262
91	1.968895296
92	1.967517033
93	1.966772544
94	1.965391684
95	1.964756767
96	1.963765515
97	1.963044977
98	1.962039979
99	1.960740103
100	1.960153775
101	1.958686198
102	1.957231058
103	1.954989478
104	1.953513474
105	1.952283716
106	1.951255663
107	1.949999145
108	1.948889253
109	1.948194078
110	1.947316088
111	1.945515694
112	1.944783481
113	1.944016974
114	1.943354489
115	1.942498498
116	1.941304973
117	1.940671163
118	1.939531993
119	1.938018461
120	1.936921781
121	1.936089876
122	1.934670783
123	1.933044729
124	1.932334672
125	1.931439575
126	1.9293935
127	1.92811407
128	1.926528107
129	1.925166587
130	1.924001309
131	1.923063568
132	1.921744283
133	1.921134031
