iter	Passed	Remaining
0	146	730441
1	152	380075
2	157	263048
3	164	205835
4	171	171128
5	177	147915
6	181	129691
7	186	116503
8	189	105192
9	192	96262
10	196	89154
11	199	82917
12	204	78416
13	207	73793
14	209	69787
15	212	66348
16	215	63191
17	217	60333
18	220	57762
19	222	55364
20	224	53185
21	226	51267
22	228	49390
23	230	47724
24	231	46153
25	233	44708
26	235	43389
27	237	42208
28	239	41083
29	241	40011
30	243	39013
31	245	38117
32	247	37242
33	249	36394
34	250	35592
35	252	34827
36	254	34126
37	256	33490
38	258	32858
39	260	32252
40	262	31697
41	263	31156
42	265	30625
43	267	30122
44	269	29638
45	271	29198
46	273	28774
47	274	28355
48	276	27960
49	278	27600
50	280	27214
51	282	26866
52	284	26514
53	285	26189
54	287	25858
55	289	25545
56	291	25263
57	293	24985
58	295	24722
59	297	24455
60	298	24203
61	301	23979
62	303	23745
63	304	23521
64	306	23295
65	308	23085
66	310	22880
67	312	22670
68	314	22464
69	316	22292
70	318	22105
71	320	21923
72	322	21743
73	323	21558
74	325	21391
75	327	21219
76	329	21051
77	331	20887
78	333	20752
79	335	20615
80	336	20462
81	338	20318
82	340	20177
83	342	20051
84	344	19915
85	346	19790
86	348	19676
87	350	19555
88	352	19439
89	354	19328
90	356	19215
91	358	19113
92	360	18999
93	361	18886
94	363	18777
95	365	18667
96	367	18573
97	369	18469
98	371	18368
99	373	18280
100	374	18180
101	376	18095
102	378	18005
103	380	17920
104	382	17832
105	384	17739
106	386	17655
107	387	17567
108	389	17496
109	392	17434
110	394	17362
111	396	17312
112	399	17298
113	402	17235
114	404	17175
115	406	17127
116	409	17070
117	410	16998
118	412	16926
119	414	16858
120	416	16783
121	417	16711
122	419	16651
123	421	16592
124	423	16524
125	425	16457
126	427	16404
127	429	16347
128	431	16286
129	433	16231
130	435	16176
131	437	16121
132	439	16071
133	440	16013
